節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第７節第２日,j1_2025_03291403_京都_広島,2025-03-29 14:03:00,京都,広島,1,0,-0.0527,False,0.252,0.429,0.319,A,H,False,A
第７節第２日,j1_2025_03291403_新潟_Ｇ大阪,2025-03-29 14:03:00,新潟,Ｇ大阪,3,3,-0.2631,False,0.265,0.412,0.323,A,D,False,A
第７節第２日,j1_2025_03291403_柏_東京Ｖ,2025-03-29 14:03:00,柏,東京Ｖ,0,0,1.3158,True,0.426,0.389,0.185,H,D,False,H
第７節第２日,j1_2025_03291403_名古屋_横浜FC,2025-03-29 14:03:00,名古屋,横浜FC,2,1,0.8421,True,0.351,0.401,0.248,H,H,True,H
第７節第２日,j1_2025_03291503_鹿島_神戸,2025-03-29 15:03:00,鹿島,神戸,1,0,0.7369,True,0.307,0.419,0.275,H,H,True,H
第７節第２日,j1_2025_03291504_福岡_町田,2025-03-29 15:04:00,福岡,町田,2,2,-0.1052,False,0.285,0.418,0.297,A,D,False,A
第７節第２日,j1_2025_03291703_FC東京_川崎Ｆ,2025-03-29 17:03:00,FC東京,川崎Ｆ,0,3,0.0526,True,0.278,0.426,0.296,A,A,True,A
第８節第１日,j1_2025_04021903_Ｇ大阪_町田,2025-04-02 19:03:00,Ｇ大阪,町田,0,1,0.3685,True,0.299,0.421,0.28,H,A,False,H
第８節第１日,j1_2025_04021903_Ｃ大阪_岡山,2025-04-02 19:03:00,Ｃ大阪,岡山,2,1,0.5263,True,0.35,0.414,0.235,H,H,True,H
第８節第１日,j1_2025_04021903_京都_柏,2025-04-02 19:03:00,京都,柏,1,1,-0.0527,False,0.284,0.422,0.294,A,D,False,A
第８節第１日,j1_2025_04021903_広島_鹿島,2025-04-02 19:03:00,広島,鹿島,1,0,0.0527,True,0.337,0.425,0.237,H,H,True,H
第８節第１日,j1_2025_04021903_東京Ｖ_FC東京,2025-04-02 19:03:00,東京Ｖ,FC東京,2,2,0.2632,True,0.238,0.399,0.363,A,D,False,A
第８節第１日,j1_2025_04021903_横浜FC_神戸,2025-04-02 19:03:00,横浜FC,神戸,0,1,-0.3684,False,0.246,0.405,0.349,A,A,True,A
第８節第１日,j1_2025_04021903_川崎Ｆ_湘南,2025-04-02 19:03:00,川崎Ｆ,湘南,2,0,1.0,True,0.362,0.41,0.228,H,H,True,H
第８節第１日,j1_2025_04021903_新潟_福岡,2025-04-02 19:03:00,新潟,福岡,0,1,-0.2631,False,0.28,0.409,0.311,A,A,True,A
第８節第１日,j1_2025_04021904_名古屋_横浜FM,2025-04-02 19:04:00,名古屋,横浜FM,2,0,0.6316,True,0.318,0.409,0.273,H,H,True,H
第８節第１日,j1_2025_04021933_浦和_清水,2025-04-02 19:33:00,浦和,清水,2,1,1.2105,True,0.278,0.419,0.303,A,H,False,A
第９節第１日,j1_2025_04051403_横浜FM_東京Ｖ,2025-04-05 14:03:00,横浜FM,東京Ｖ,0,0,0.5263,True,0.369,0.388,0.243,H,D,False,H
第９節第２日,j1_2025_04061301_岡山_FC東京,2025-04-06 13:01:00,岡山,FC東京,1,0,0.1579,True,0.282,0.412,0.306,A,H,False,A
第９節第２日,j1_2025_04061403_横浜FC_清水,2025-04-06 14:03:00,横浜FC,清水,2,0,0.1579,True,0.232,0.403,0.365,A,H,False,A
第９節第２日,j1_2025_04061403_神戸_新潟,2025-04-06 14:03:00,神戸,新潟,0,1,1.3684,True,0.365,0.408,0.228,H,A,False,H
第９節第２日,j1_2025_04061403_町田_川崎Ｆ,2025-04-06 14:03:00,町田,川崎Ｆ,2,2,0.1578,True,0.28,0.426,0.294,A,D,False,A
第９節第２日,j1_2025_04061404_福岡_浦和,2025-04-06 14:04:00,福岡,浦和,1,0,0.579,True,0.306,0.414,0.28,H,H,True,H
第９節第２日,j1_2025_04061503_広島_Ｃ大阪,2025-04-06 15:03:00,広島,Ｃ大阪,2,1,0.6316,True,0.324,0.434,0.243,H,H,True,H
第９節第２日,j1_2025_04061503_柏_Ｇ大阪,2025-04-06 15:03:00,柏,Ｇ大阪,1,0,1.1053,True,0.322,0.422,0.256,H,H,True,H
第９節第２日,j1_2025_04061503_鹿島_京都,2025-04-06 15:03:00,鹿島,京都,3,4,0.4211,True,0.311,0.418,0.271,H,A,False,H
